cat_id;name
642;U15 Jiu-Jitsu Women -48 kg
643;U15 Jiu-Jitsu Women -52 kg
644;U15 Jiu-Jitsu Women -57 kg
645;U15 Jiu-Jitsu Women -63 kg
646;U15 Jiu-Jitsu Women p63 kg
777;U15 Show Men
779;U15 Show Mixed
778;U15 Show Women
4332;U16 Duo Men
4334;U16 Duo Mixed
4333;U16 Duo Women
4296;U16 Fighting Men -38 kg
21196;U16 Fighting Men -40 kg
4297;U16 Fighting Men -42 kg
21195;U16 Fighting Men -44 kg
4298;U16 Fighting Men -46 kg
21194;U16 Fighting Men -48 kg
4299;U16 Fighting Men -50 kg
21193;U16 Fighting Men -52 kg
4300;U16 Fighting Men -55 kg
21192;U16 Fighting Men -56 kg
4301;U16 Fighting Men -60 kg
21191;U16 Fighting Men -62 kg
4302;U16 Fighting Men -66 kg
5821;U16 Fighting Men -66 kg
21190;U16 Fighting Men -69 kg
4303;U16 Fighting Men -73 kg
21189;U16 Fighting Men -77 kg
4304;U16 Fighting Men p73 kg
5648;U16 Fighting Men p73 kg
5822;U16 Fighting Men p73 kg
5830;U16 Fighting Men p73 kg
21188;U16 Fighting Men p77 kg
4305;U16 Fighting Women -32 kg
4306;U16 Fighting Women -36 kg
4307;U16 Fighting Women -40 kg
4308;U16 Fighting Women -44 kg
4309;U16 Fighting Women -48 kg
4310;U16 Fighting Women -52 kg
4311;U16 Fighting Women -57 kg
4312;U16 Fighting Women -63 kg
4313;U16 Fighting Women p63 kg
4314;U16 Jiu-Jitsu Men -38 kg
21332;U16 Jiu-Jitsu Men -40 kg
4315;U16 Jiu-Jitsu Men -42 kg
5824;U16 Jiu-Jitsu Men -42 kg
21333;U16 Jiu-Jitsu Men -44 kg
4316;U16 Jiu-Jitsu Men -46 kg
21334;U16 Jiu-Jitsu Men -48 kg
4317;U16 Jiu-Jitsu Men -50 kg
21335;U16 Jiu-Jitsu Men -52 kg
4318;U16 Jiu-Jitsu Men -55 kg
21336;U16 Jiu-Jitsu Men -56 kg
4319;U16 Jiu-Jitsu Men -60 kg
21337;U16 Jiu-Jitsu Men -62 kg
4320;U16 Jiu-Jitsu Men -66 kg
5825;U16 Jiu-Jitsu Men -66 kg
21338;U16 Jiu-Jitsu Men -69 kg
4321;U16 Jiu-Jitsu Men -73 kg
21339;U16 Jiu-Jitsu Men -77 kg
4322;U16 Jiu-Jitsu Men p73 kg
21340;U16 Jiu-Jitsu Men p77 kg
4343;U16 Jiu-Jitsu NoGi Men -55kg
4323;U16 Jiu-Jitsu Women -32 kg
4324;U16 Jiu-Jitsu Women -36 kg
4325;U16 Jiu-Jitsu Women -40 kg
4326;U16 Jiu-Jitsu Women -44 kg
4327;U16 Jiu-Jitsu Women -48 kg
4328;U16 Jiu-Jitsu Women -52 kg
4329;U16 Jiu-Jitsu Women -57 kg
4330;U16 Jiu-Jitsu Women -63 kg
4331;U16 Jiu-Jitsu Women p63 kg
4335;U16 Show Men
4337;U16 Show Mixed
4336;U16 Show Women
117;U18 Duo Men
716;U18 Duo Men
1889;U18 Duo Men
4347;U18 Duo Men
119;U18 Duo Mixed
718;U18 Duo Mixed
1890;U18 Duo Mixed
118;U18 Duo Women
717;U18 Duo Women
1891;U18 Duo Women
4346;U18 Duo Women
101;U18 Fighting Men -46 kg
1760;U18 Fighting Men -46 kg
21212;U18 Fighting Men -48 kg
102;U18 Fighting Men -50 kg
1761;U18 Fighting Men -50 kg
21211;U18 Fighting Men -52 kg
103;U18 Fighting Men -55 kg
1762;U18 Fighting Men -55 kg
21210;U18 Fighting Men -56 kg
104;U18 Fighting Men -60 kg
1763;U18 Fighting Men -60 kg
21209;U18 Fighting Men -62 kg
105;U18 Fighting Men -66 kg
1764;U18 Fighting Men -66 kg
21208;U18 Fighting Men -69 kg
106;U18 Fighting Men -73 kg
1765;U18 Fighting Men -73 kg
21207;U18 Fighting Men -77 kg
107;U18 Fighting Men -81 kg
1766;U18 Fighting Men -81 kg
21206;U18 Fighting Men -85 kg
108;U18 Fighting Men p81 kg
1767;U18 Fighting Men p81 kg
21205;U18 Fighting Men p85 kg
1806;U18 Fighting Women -40 kg
110;U18 Fighting Women -44 kg
1807;U18 Fighting Women -44 kg
111;U18 Fighting Women -48 kg
1808;U18 Fighting Women -48 kg
6862;U18 Fighting Women -48 kg
112;U18 Fighting Women -52 kg
915;U18 Fighting Women -52 kg
1809;U18 Fighting Women -52 kg
113;U18 Fighting Women -57 kg
1810;U18 Fighting Women -57 kg
114;U18 Fighting Women -63 kg
916;U18 Fighting Women -63 kg
1811;U18 Fighting Women -63 kg
115;U18 Fighting Women -70 kg
1812;U18 Fighting Women -70 kg
1813;U18 Fighting Women -70 kg
116;U18 Fighting Women p70 kg
1814;U18 Fighting Women p70 kg
999990;U18 Fighting Men -57kg
999991;U18 Fighting Men -62kg
999992;U18 Fighting Men -68kg
999993;U18 Fighting Men -74kg
999994;U18 Fighting Men -80kg
999995;U18 Fighting Men p80kg
999996;U18 Fighting Women -55kg
999997;U18 Fighting Women -60kg
999999;U18 Fighting Women -66kg
